TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,PTS,PTS_RANK
1610612739,Cleveland,Cavaliers,2015,82,57,25,0.695,1,1,16,5,LEAGUE CHAMPION,3171,6888,0.46,880,2428,0.362,1333,1783,0.748,8555,8
1610612739,Cleveland,Cavaliers,2016,82,51,31,0.622,2,1,13,5,FINALS APPEARANCE,3275,6963,0.47,1067,2779,0.384,1431,1913,0.748,9048,4
1610612739,Cleveland,Cavaliers,2017,82,50,32,0.61,4,1,12,10,FINALS APPEARANCE,3311,6950,0.476,981,2636,0.372,1488,1909,0.779,9091,5
1610612739,Cleveland,Cavaliers,2018,82,19,63,0.232,14,5,0,0,N/A,3189,7184,0.444,847,2388,0.355,1342,1694,0.792,8567,29
1610612739,Cleveland,Cavaliers,2019,65,19,46,0.292,15,5,0,0,N/A,2619,5715,0.458,727,2070,0.351,983,1296,0.758,6948,27
1610612739,Cleveland,Cavaliers,2020,72,22,50,0.306,13,4,0,0,N/A,2778,6175,0.45,720,2141,0.336,1200,1614,0.743,7476,30
1610612739,Cleveland,Cavaliers,2021,82,44,38,0.537,9,3,0,0,N/A,3255,6940,0.469,953,2686,0.355,1376,1810,0.76,8839,25
1610612740,New Orleans,Hornets,2002,82,47,35,0.573,5,3,2,4,N/A,2914,6695,0.435,404,1075,0.376,1467,1910,0.768,7699,19
1610612740,New Orleans,Hornets,2003,82,41,41,0.5,5,3,3,4,N/A,2772,6605,0.42,531,1666,0.319,1454,1937,0.751,7529,17
1610612740,New Orleans,Hornets,2004,82,18,64,0.22,15,5,0,0,N/A,2718,6556,0.415,415,1316,0.315,1401,1830,0.766,7252,30
1610612740,New Orleans/Oklahoma City,Hornets,2005,82,38,44,0.463,10,4,0,0,N/A,2831,6428,0.44,300,885,0.339,1649,2176,0.758,7611,25
1610612740,New Orleans/Oklahoma City,Hornets,2006,82,39,43,0.476,10,4,0,0,N/A,2971,6674,0.445,455,1256,0.362,1436,1941,0.74,7833,25
1610612740,New Orleans,Hornets,2007,82,56,26,0.683,2,1,7,5,N/A,3164,6796,0.466,630,1621,0.389,1312,1707,0.769,8270,9
1610612740,New Orleans,Hornets,2008,82,49,33,0.598,7,4,1,4,N/A,2911,6366,0.457,556,1526,0.364,1479,1833,0.807,7857,26
1610612740,New Orleans,Hornets,2009,82,37,45,0.451,11,5,0,0,N/A,3178,6842,0.464,571,1572,0.363,1293,1661,0.778,8220,17
1610612740,New Orleans,Hornets,2010,82,46,36,0.561,7,3,2,4,N/A,2944,6416,0.459,444,1232,0.36,1452,1897,0.765,7784,27
1610612740,New Orleans,Hornets,2011,66,21,45,0.318,15,5,0,0,N/A,2300,5103,0.451,259,777,0.333,1057,1397,0.757,5916,29
1610612740,New Orleans,Hornets,2012,82,27,55,0.329,14,5,0,0,N/A,2955,6589,0.448,535,1474,0.363,1269,1636,0.776,7714,24
1610612740,New Orleans,Pelicans,2013,82,34,48,0.415,12,5,0,0,N/A,3101,6761,0.459,486,1303,0.373,1489,1936,0.769,8177,18
1610612740,New Orleans,Pelicans,2014,82,45,37,0.549,8,5,0,4,N/A,3108,6795,0.457,586,1583,0.37,1345,1790,0.751,8147,16
1610612740,New Orleans,Pelicans,2015,82,30,52,0.366,12,5,0,0,N/A,3153,7040,0.448,702,1951,0.36,1415,1823,0.776,8423,13
1610612740,New Orleans,Pelicans,2016,82,34,48,0.415,10,4,0,0,N/A,3210,7130,0.45,768,2196,0.35,1368,1825,0.75,8556,18
1610612740,New Orleans,Pelicans,2017,82,48,34,0.585,6,2,5,4,N/A,3500,7241,0.483,837,2312,0.362,1324,1716,0.772,9161,3
1610612740,New Orleans,Pelicans,2018,82,33,49,0.402,13,4,0,0,N/A,3581,7563,0.473,842,2449,0.344,1462,1921,0.761,9466,3
